date,CONFIDENCE,PROD_TREND,ORDER_BOOK,EXPORT_ORDER_BOOK,FINISHED_STOCKS,PRODUCTION_EXPECTATIONS,SELLING_PRICE,EMPLOYMENT
1990-02-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-06-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-08-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-09-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-01,NA,NA,NA,NA,NA,NA,NA,NA
1990-12-01,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-01,-7,1,-16,-37,-4,-9,21,NA
1991-02-01,-7,-28,-15,-38,-6,-12,15,NA
1991-03-01,-6,-23,-13,-42,-5,-8,13,NA
1991-04-01,-3,-15,-10,-36,-5,-2,15,NA
1991-05-01,0,-12,-12,-36,-6,7,15,NA
1991-06-01,6,-8,-3,-33,-10,9,13,NA
1991-07-01,1,-3,-8,-34,-5,7,15,NA
1991-08-01,-3,-4,-18,-31,-5,5,13,NA
1991-09-01,-6,-5,-16,-29,-2,-4,13,NA
1991-10-01,-4,0,-13,-31,3,5,15,NA
1991-11-01,1,4,-11,-26,-4,12,16,NA
1991-12-01,0,3,-8,-31,3,10,17,NA
1992-01-01,-5,-6,-16,-32,1,2,16,NA
1992-02-01,-2,6,-9,-25,2,5,17,NA
1992-03-01,-2,3,-11,-24,1,4,14,NA
1992-04-01,-11,5,-25,-32,4,-5,12,NA
1992-05-01,-10,-11,-22,-26,4,-5,10,NA
1992-06-01,-10,-6,-27,-27,1,-1,11,NA
1992-07-01,-16,-11,-34,-26,9,-5,10,NA
1992-08-01,-19,-10,-31,-24,10,-17,9,NA
1992-09-01,-29,-24,-39,-35,21,-28,4,NA
1992-10-01,-39,-26,-51,-46,21,-45,8,NA
1992-11-01,-47,-43,-57,-53,36,-49,-1,NA
1992-12-01,-47,-43,-59,-66,31,-51,8,NA
1993-01-01,-47,-44,-61,-61,39,-41,0,NA
1993-02-01,-45,-30,-70,-64,37,-28,-2,NA
1993-03-01,-46,-30,-73,-62,35,-30,-2,NA
1993-04-01,-45,-37,-75,-61,34,-26,-3,NA
1993-05-01,-45,-23,-78,-65,35,-21,-8,NA
1993-06-01,-46,-28,-78,-62,43,-16,-4,NA
1993-07-01,-47,-42,-78,-72,38,-25,-7,NA
1993-08-01,-42,-22,-74,-70,36,-16,-7,NA
1993-09-01,-43,-21,-75,-68,38,-18,-8,NA
1993-10-01,-37,-12,-69,-69,38,-4,-9,NA
1993-11-01,-36,-12,-71,-68,37,2,-11,NA
1993-12-01,-34,-12,-62,-65,37,-3,-11,NA
1994-01-01,-31,-3,-59,-66,30,-2,-6,NA
1994-02-01,-26,0,-58,-57,22,2,-10,NA
1994-03-01,-18,8,-46,-46,22,12,-6,NA
1994-04-01,-6,20,-34,-34,5,20,-4,NA
1994-05-01,-6,24,-29,-37,7,18,-4,NA
1994-06-01,-8,29,-32,-39,11,19,-3,NA
1994-07-01,-2,21,-24,-27,1,19,3,NA
1994-08-01,-1,12,-17,-29,3,17,0,NA
1994-09-01,3,24,-9,-20,3,22,2,NA
1994-10-01,10,18,-8,-22,-6,31,5,NA
1994-11-01,7,30,-2,-11,0,23,8,NA
1994-12-01,9,28,-5,-3,-3,29,9,NA
1995-01-01,10,32,1,-4,1,30,7,NA
1995-02-01,5,26,1,-4,4,17,10,NA
1995-03-01,3,17,-4,-8,4,17,9,NA
1995-04-01,0,12,-2,-1,2,4,6,NA
1995-05-01,-3,10,-7,-8,7,4,7,NA
1995-06-01,-9,-4,-10,-7,7,-11,10,NA
1995-07-01,-6,7,-13,-8,6,0,6,NA
1995-08-01,-7,6,-13,-9,6,-2,7,NA
1995-09-01,-10,0,-19,-8,10,-1,3,NA
1995-10-01,-1,-7,-13,-9,3,13,5,NA
1995-11-01,-4,-4,-13,-16,7,7,2,NA
1995-12-01,-2,-5,-13,-15,5,11,3,NA
1996-01-01,-10,4,-19,-20,9,-1,4,NA
1996-02-01,-16,3,-28,-19,14,-5,-1,NA
1996-03-01,-16,-3,-29,-17,10,-11,-6,NA
1996-04-01,-11,-8,-24,-20,7,-2,-1,NA
1996-05-01,-17,-15,-28,-20,15,-8,-6,NA
1996-06-01,-17,-17,-32,-24,15,-4,-7,NA
1996-07-01,-12,-10,-26,-21,12,4,-7,NA
1996-08-01,-11,-5,-23,-22,9,0,-6,NA
1996-09-01,-7,9,-19,-18,10,6,-11,NA
1996-10-01,-6,3,-19,-20,8,8,-12,NA
1996-11-01,-6,0,-22,-18,10,13,-9,NA
1996-12-01,-7,5,-25,-25,8,13,-11,NA
1997-01-01,-2,4,-19,-18,4,16,-9,NA
1997-02-01,2,5,-14,-12,3,22,-5,NA
1997-03-01,2,-5,-5,-6,1,12,-8,NA
1997-04-01,2,19,-8,-7,2,15,-7,NA
1997-05-01,3,2,-6,1,-2,13,-9,NA
1997-06-01,3,11,-8,1,-2,15,-7,NA
1997-07-01,8,11,-3,7,-3,23,-1,-2
1997-08-01,11,2,3,6,-3,26,-4,5
1997-09-01,15,16,9,6,-6,31,-8,5
1997-10-01,11,15,13,9,-5,15,-4,-3
1997-11-01,13,11,8,7,-5,24,-8,5
1997-12-01,13,17,8,11,-2,28,-9,14
1998-01-01,15,18,14,16,-2,30,-5,3
1998-02-01,12,20,11,13,-4,20,-7,7
1998-03-01,16,20,19,23,-3,27,-7,9
1998-04-01,17,18,22,20,-3,28,-5,7
1998-05-01,17,15,22,20,-6,21,-4,10
1998-06-01,20,24,30,26,-6,23,-3,0
1998-07-01,20,24,30,29,-7,22,-4,0
1998-08-01,20,17,26,23,-8,26,-4,9
1998-09-01,14,16,19,19,-3,20,-4,3
1998-10-01,7,16,15,10,-1,5,-7,1
1998-11-01,6,10,12,4,-1,4,-7,-8
1998-12-01,4,9,13,1,8,6,-7,-13
1999-01-01,-2,-3,8,7,7,-7,-6,-7
1999-02-01,-2,1,5,-2,8,-2,-6,-15
1999-03-01,-5,13,1,-8,9,-8,-11,-14
1999-04-01,-6,-10,-2,-6,7,-8,-10,-14
1999-05-01,-6,-3,-5,-5,6,-6,-8,-20
1999-06-01,-5,10,-7,-4,5,-3,-5,-17
1999-07-01,1,3,-1,2,2,6,-8,-13
1999-08-01,2,2,3,5,1,3,-6,-18
1999-09-01,3,12,2,4,1,8,-7,-19
1999-10-01,7,10,5,3,0,16,-5,-11
1999-11-01,8,14,6,6,0,19,-5,-17
1999-12-01,10,5,9,5,-1,20,-6,-8
2000-01-01,5,15,7,6,5,15,-3,-1
2000-02-01,6,16,7,3,1,10,0,-5
2000-03-01,8,20,9,6,-1,13,0,-5
2000-04-01,6,3,2,7,-5,11,1,-2
2000-05-01,9,25,9,10,-8,11,3,-5
2000-06-01,7,10,8,9,-1,13,4,-3
2000-07-01,11,8,10,6,-3,20,4,2
2000-08-01,13,9,13,9,-4,24,2,-7
2000-09-01,13,19,17,5,-5,16,6,-3
2000-10-01,12,14,12,10,-3,22,2,2
2000-11-01,8,15,12,0,2,15,2,-4
2000-12-01,7,9,9,5,-1,11,4,-5
2001-01-01,6,18,9,6,8,17,3,-7
2001-02-01,1,10,8,6,13,7,3,-10
2001-03-01,-6,10,-3,-1,18,4,2,-12
2001-04-01,-9,-13,-6,-4,13,-8,1,-15
2001-05-01,-5,7,-2,3,7,-6,-1,-20
2001-06-01,-11,-7,-10,-5,13,-9,1,-18
2001-07-01,-8,-10,-14,-9,10,-1,1,-19
2001-08-01,-12,-2,-12,-11,14,-9,-1,-22
2001-09-01,-17,-6,-25,-18,13,-13,-2,-24
2001-10-01,-29,-21,-35,-28,24,-29,0,-25
2001-11-01,-23,-12,-33,-28,17,-19,-2,-22
2001-12-01,-12,-17,-30,-30,13,6,4,-20
2002-01-01,-13,-18,-27,-26,12,1,1,-20
2002-02-01,-9,-12,-22,-21,5,0,-3,-16
2002-03-01,-7,-13,-24,-23,10,13,1,-17
2002-04-01,-10,3,-29,-23,11,8,-1,-11
2002-05-01,-6,1,-20,-19,9,10,3,-10
2002-06-01,-8,-11,-25,-18,8,9,-1,-9
2002-07-01,-9,13,-26,-20,9,7,0,-11
2002-08-01,-4,6,-20,-15,0,7,-2,-10
2002-09-01,-7,-9,-24,-19,4,6,-1,-9
2002-10-01,-5,2,-19,-14,5,8,0,-15
2002-11-01,-3,6,-12,-18,6,9,-2,-11
2002-12-01,-4,7,-14,-16,8,11,-2,-8
2003-01-01,-6,5,-18,-25,5,4,-3,-14
2003-02-01,-4,-2,-14,-19,5,8,0,-14
2003-03-01,-7,2,-23,-18,1,4,1,-13
2003-04-01,-7,3,-25,-16,0,5,2,-14
2003-05-01,-9,-9,-22,-16,3,-1,-1,-18
2003-06-01,-10,1,-23,-18,3,-5,-1,-18
2003-07-01,-10,-12,-22,-18,4,-3,1,-19
2003-08-01,-11,0,-25,-21,6,-1,2,-16
2003-09-01,-8,-3,-23,-15,7,7,-3,-19
2003-10-01,-3,9,-15,-15,6,13,0,-18
2003-11-01,1,9,-7,-7,10,20,-3,-13
2003-12-01,-4,12,-10,-10,16,14,-1,-12
2004-01-01,0,15,-15,-8,6,22,3,-11
2004-02-01,3,8,-12,-14,7,28,1,-10
2004-03-01,2,3,-14,-7,6,26,2,-10
2004-04-01,3,15,-11,-2,5,24,-1,-9
2004-05-01,4,10,-9,-5,-2,18,3,-7
2004-06-01,3,7,-4,-1,5,18,1,-4
2004-07-01,2,18,-3,4,1,11,5,-9
2004-08-01,2,9,-10,-7,2,18,3,-10
2004-09-01,4,5,-2,-3,1,15,4,-4
2004-10-01,6,12,1,-5,-2,16,3,-5
2004-11-01,2,4,1,-5,5,9,2,-1
2004-12-01,1,10,1,-13,9,12,7,-13
2005-01-01,-2,8,2,-5,7,-1,4,-13
2005-02-01,-6,6,-10,-8,11,1,5,-15
2005-03-01,-8,4,-14,-11,13,2,6,-15
2005-04-01,-5,0,-14,-13,6,7,3,-15
2005-05-01,-4,1,-13,-10,5,8,6,-18
2005-06-01,-2,-4,-14,-11,7,16,0,-14
2005-07-01,-4,0,-16,-12,4,8,4,-13
2005-08-01,-2,0,-12,-9,3,10,4,-12
2005-09-01,-2,0,-14,-14,5,14,6,-10
2005-10-01,1,4,-10,-8,5,17,3,-11
2005-11-01,-2,2,-11,-14,4,10,4,-12
2005-12-01,-4,11,-11,-13,9,7,4,-13
2006-01-01,-2,0,-10,-11,8,11,1,-13
2006-02-01,0,9,-3,1,7,10,0,-11
2006-03-01,2,6,-3,-1,5,13,0,-9
2006-04-01,4,11,2,5,3,14,3,-11
2006-05-01,4,2,1,2,6,18,-4,-9
2006-06-01,1,15,-3,4,5,10,2,-10
2006-07-01,0,7,-1,5,5,5,1,-12
2006-08-01,1,6,-3,-1,7,13,0,-7
2006-09-01,1,4,-7,-4,4,12,-1,-10
2006-10-01,6,8,2,-1,-1,16,-1,-8
2006-11-01,9,15,6,0,3,24,-1,-8
2006-12-01,4,23,4,1,4,12,-3,-6
2007-01-01,11,5,8,3,0,26,3,-2
2007-02-01,9,22,9,9,0,18,3,0
2007-03-01,9,12,16,16,1,13,2,-1
2007-04-01,8,17,14,14,1,12,2,-5
2007-05-01,10,12,16,22,0,15,2,-4
2007-06-01,11,21,17,18,3,19,7,-1
2007-07-01,11,20,16,17,-1,15,2,1
2007-08-01,11,14,16,16,0,17,5,1
2007-09-01,11,12,14,14,4,22,2,5
2007-10-01,13,8,16,13,3,25,3,1
2007-11-01,14,19,13,11,-1,29,2,2
2007-12-01,12,14,14,10,0,22,7,5
2008-01-01,10,20,12,8,0,17,5,-1
2008-02-01,6,9,8,9,-2,9,5,-2
2008-03-01,9,12,15,15,-3,8,7,-4
2008-04-01,6,4,6,8,1,13,8,-7
2008-05-01,2,16,5,5,-1,-1,5,-3
2008-06-01,-4,-5,0,3,6,-7,7,-13
2008-07-01,-8,-3,-7,-3,10,-6,11,-13
2008-08-01,-16,-8,-15,-12,14,-19,10,-15
2008-09-01,-19,-30,-25,-28,15,-16,8,-27
2008-10-01,-39,-40,-43,-48,22,-52,-6,-40
2008-11-01,-51,-60,-62,-63,29,-62,-8,-51
2008-12-01,-59,-71,-69,-74,41,-68,-11,-54
2009-01-01,-61,-68,-82,-79,35,-66,-10,-55
2009-02-01,-59,-74,-86,-85,35,-55,-5,-50
2009-03-01,-47,-61,-85,-84,25,-32,-10,-51
2009-04-01,-37,-40,-75,-77,22,-13,-6,-46
2009-05-01,-36,-43,-78,-80,22,-8,-8,-34
2009-06-01,-28,-20,-74,-75,14,4,-7,-32
2009-07-01,-28,-17,-72,-72,13,1,-9,-27
2009-08-01,-21,-6,-65,-70,5,8,-5,-21
2009-09-01,-16,10,-57,-62,-3,8,-9,-27
2009-10-01,-13,12,-55,-58,-3,12,-6,-23
2009-11-01,-18,12,-56,-59,5,8,-6,-24
2009-12-01,-17,19,-55,-62,0,5,-8,-20
2010-01-01,-14,6,-45,-51,1,3,-7,-20
2010-02-01,-11,20,-49,-50,-2,14,-8,-11
2010-03-01,-10,22,-48,-38,-7,10,-5,-15
2010-04-01,-11,19,-40,-36,-4,2,-6,-11
2010-05-01,-5,23,-31,-36,-3,14,-4,-8
2010-06-01,-3,21,-29,-23,-7,12,-2,-1
2010-07-01,2,26,-24,-21,-12,18,-3,-3
2010-08-01,1,24,-17,-16,-6,14,-1,-2
2010-09-01,7,24,-13,-11,-9,24,0,5
2010-10-01,6,27,-7,-11,-8,19,-2,5
2010-11-01,5,23,-9,-3,-5,20,0,9
2010-12-01,10,26,-2,-7,-10,22,1,11
2011-01-01,10,35,2,1,-9,18,2,11
2011-02-01,10,25,4,9,-6,21,5,18
2011-03-01,11,26,5,11,-9,19,3,20
2011-04-01,8,14,5,10,-8,12,5,19
2011-05-01,11,12,4,6,-11,19,6,19
2011-06-01,11,13,8,10,-11,15,6,17
2011-07-01,7,8,4,12,-8,8,3,20
2011-08-01,10,4,7,2,-5,18,1,11
2011-09-01,1,7,-5,-1,-5,4,1,11
2011-10-01,0,5,-4,-3,0,3,-1,9
2011-11-01,-5,-2,-6,-13,5,-5,-1,9
2011-12-01,-7,-3,-10,-11,7,-4,0,-3
2012-01-01,-5,-1,-9,-6,-1,-6,-3,2
2012-02-01,-7,-4,-10,-10,7,-3,-3,-2
2012-03-01,-7,-15,-10,-4,4,-6,-4,0
2012-04-01,-11,-18,-18,-17,2,-12,-1,0
2012-05-01,-12,-20,-24,-15,2,-10,-5,-6
2012-06-01,-12,-26,-25,-14,0,-13,-4,-5
2012-07-01,-14,-33,-26,-19,5,-11,-4,-9
2012-08-01,-17,-26,-29,-27,6,-15,-5,-14
2012-09-01,-22,-35,-36,-31,9,-22,-5,-15
2012-10-01,-23,-39,-38,-33,8,-24,-7,-17
2012-11-01,-24,-35,-46,-42,5,-21,-6,-17
2012-12-01,-21,-37,-43,-40,5,-14,-8,-19
2013-01-01,-20,-27,-43,-35,1,-16,-6,-13
2013-02-01,-13,-17,-31,-22,1,-8,-5,-12
2013-03-01,-12,-18,-38,-27,-3,0,-6,-9
2013-04-01,-11,-14,-32,-19,-3,-6,-5,-7
2013-05-01,-12,-5,-31,-21,-1,-7,-5,-3
2013-06-01,-7,-4,-23,-16,2,4,-2,-7
2013-07-01,-5,-6,-22,-18,1,8,-4,-9
2013-08-01,-2,5,-15,-11,-2,7,-4,-7
2013-09-01,2,3,-11,-8,-5,11,-3,-3
2013-10-01,2,5,-11,-13,-5,13,-4,-3
2013-11-01,5,14,-5,-7,-2,17,-4,-2
2013-12-01,2,10,-12,-13,-4,13,-1,-4
2014-01-01,1,14,-15,-10,-3,13,-5,-3
2014-02-01,-3,4,-17,-16,-6,3,-1,-6
2014-03-01,1,1,-14,-10,-5,13,-2,-6
2014-04-01,4,7,-9,-9,-4,18,-2,-4
2014-05-01,3,10,-15,-14,-4,18,-3,-4
2014-06-01,-2,8,-14,-11,-1,7,-3,-8
2014-07-01,0,3,-10,-11,3,13,-2,4
2014-08-01,-2,3,-12,-16,-1,6,-2,-6
2014-09-01,-3,4,-7,-7,2,-1,-5,-2
2014-10-01,-7,-2,-19,-21,5,3,-3,-13
2014-11-01,0,4,-9,-14,0,10,-4,-8
2014-12-01,1,6,-5,-8,0,9,-3,-5
2015-01-01,4,4,-5,-5,-1,17,-4,0
2015-02-01,4,6,-4,-5,-4,13,-4,4
2015-03-01,5,11,3,3,-1,11,-2,5
2015-04-01,5,17,4,5,4,16,-3,4
2015-05-01,5,15,3,3,1,11,-4,5
2015-06-01,5,7,2,5,0,13,-3,11
2015-07-01,5,15,-1,1,-3,12,-4,1
2015-08-01,2,13,6,2,3,2,-3,-4
2015-09-01,7,15,5,0,-2,15,-2,5
2015-10-01,8,9,5,-6,-1,17,-3,-5
2015-11-01,6,16,1,-9,-2,15,-2,-2
2015-12-01,2,7,2,-8,1,6,-5,-6
2016-01-01,1,13,2,-4,7,7,-3,-5
2016-02-01,2,1,-1,-1,3,9,-4,-1
2016-03-01,6,10,2,1,-1,15,-3,-2
2016-04-01,7,6,-2,6,-2,20,0,0
2016-05-01,6,22,1,5,-3,15,-1,4
2016-06-01,0,11,-1,2,4,6,-1,2
2016-07-01,2,16,4,10,2,5,-2,2
2016-08-01,-1,0,0,-3,2,0,-2,4
2016-09-01,3,9,5,-4,2,6,-2,1
2016-10-01,3,3,6,-2,6,9,0,4
2016-11-01,4,6,2,-7,3,12,-1,8
2016-12-01,6,16,10,-6,4,12,-1,5
2017-01-01,7,23,6,-2,0,15,2,5
2017-02-01,6,16,10,3,4,12,4,9
2017-03-01,8,19,9,5,2,15,2,7
2017-04-01,7,24,4,-1,-2,14,-1,1
2017-05-01,8,10,13,-1,3,15,4,2
2017-06-01,7,9,11,4,3,12,1,1
2017-07-01,10,6,13,7,3,20,3,5
2017-08-01,5,16,12,-1,2,6,0,10
2017-09-01,12,18,12,7,2,25,5,2
2017-10-01,12,14,14,3,2,25,0,7
2017-11-01,12,18,18,9,-2,17,1,1
2017-12-01,13,21,17,3,-4,17,4,8
2018-01-01,16,19,26,17,-5,16,2,5
2018-02-01,10,15,18,8,-2,11,4,2
2018-03-01,9,12,18,11,-2,7,5,-2
2018-04-01,12,9,19,17,3,21,7,2
2018-05-01,5,11,19,12,2,-2,2,-1
2018-06-01,8,-1,15,13,3,13,7,0
2018-07-01,0,16,15,8,10,-4,4,-7
2018-08-01,0,12,12,10,12,0,5,-7
2018-09-01,-1,5,9,10,11,-1,8,-2
2018-10-01,-3,0,1,3,10,1,6,-4
2018-11-01,0,8,3,-8,13,9,7,-2
2018-12-01,0,6,2,-4,13,12,11,3
2019-01-01,1,1,5,-5,7,4,12,-12
2019-02-01,-4,5,-2,-10,14,4,7,-13
2019-03-01,-6,9,5,-4,18,-4,7,-12
2019-04-01,-10,0,7,4,18,-18,6,-1
2019-05-01,-5,-11,-1,-8,12,-2,9,-11
2019-06-01,-10,5,-6,-13,14,-10,8,-18
2019-07-01,-12,-24,-10,-14,15,-10,5,-21
2019-08-01,-4,-13,-2,-3,7,-1,7,-16
2019-09-01,-16,-3,-24,-26,15,-10,3,-16
2019-10-01,-15,0,-18,-30,15,-14,5,-17
2019-11-01,-15,-4,-19,-28,10,-17,5,-20
2019-12-01,-16,-17,-18,-24,14,-18,2,-20
2020-01-01,-6,-17,-14,-18,3,-1,3,-24
2020-02-01,-3,-3,-13,-22,9,13,2,-28
2020-03-01,-18,-10,-22,-24,6,-26,3,-23
2020-04-01,-46,-92,-66,-64,19,-54,-3,-32
2020-05-01,-26,-87,-65,-64,20,6,-2,-38
2020-06-01,-15,-17,-60,-58,21,35,-3,-42
2020-07-01,-8,10,-52,-52,12,39,-3,-35
2020-08-01,10,32,-17,-26,-7,39,-1,-30
2020-09-01,12,31,-9,-11,-5,41,0,-22
2020-10-01,16,43,2,-5,-6,38,3,-18
2020-11-01,6,35,6,-3,-8,4,2,-20
2020-12-01,4,2,6,-3,-8,-2,6,-20
2021-01-01,6,7,4,0,0,15,6,-14
2021-02-01,14,4,7,2,-10,25,9,-17
2021-03-01,12,15,7,11,-11,20,12,-13
2021-04-01,18,24,16,16,-14,23,16,-13
2021-05-01,14,-6,20,21,-10,11,18,-17
2021-06-01,15,-3,27,27,-9,11,21,-10
2021-07-01,22,-6,27,23,-18,23,23,6
2021-08-01,24,-4,24,17,-19,29,24,1
2021-09-01,24,-29,27,21,-24,20,30,2
2021-10-01,23,-18,18,12,-25,27,27,-2
2021-11-01,23,-15,21,13,-19,29,34,0
2021-12-01,27,18,27,15,-19,35,33,-2
2022-01-01,29,11,30,22,-20,37,35,5
2022-02-01,33,-1,37,28,-29,33,53,14
2022-03-01,12,-2,21,22,-20,-6,55,-6
2022-04-01,10,-25,22,26,-11,-3,55,-4
2022-05-01,18,-10,14,16,-20,21,52,3
2022-06-01,23,10,22,28,-20,26,54,-1
2022-07-01,15,3,20,21,-9,16,46,4
2022-08-01,16,-5,18,16,-2,29,50,3
2022-09-01,20,-2,21,11,-7,32,47,-5
2022-10-01,15,13,24,17,4,26,47,-4
2022-11-01,18,-9,30,22,3,28,44,1
2022-12-01,16,9,26,16,5,28,46,-4
2023-01-01,12,-3,22,18,15,29,38,1
2023-02-01,12,17,24,26,6,18,35,-4
2023-03-01,11,14,25,27,3,10,32,-4
2023-04-01,14,30,27,30,-4,11,27,-2
2023-05-01,8,-18,21,22,10,12,24,-4
2023-06-01,3,10,17,24,7,-1,22,-4
2023-07-01,0,10,10,14,11,2,25,-6
2023-08-01,0,-6,1,-5,12,10,16,-4
2023-09-01,5,6,12,7,11,14,19,-11
2023-10-01,1,3,9,3,8,1,17,-11
2023-11-01,-3,7,8,0,9,-7,13,-12
2023-12-01,-1,6,-3,-10,7,6,11,-7
2024-01-01,-5,-2,-7,-12,3,-5,15,-12
2024-02-01,-7,3,-8,-14,11,-2,8,-13
2024-03-01,-10,-6,-9,-9,11,-12,12,-10
2024-04-01,-12,-22,-19,-13,3,-14,9,-9
2024-05-01,-12,-9,-17,-14,13,-7,10,-16
2024-06-01,-12,-26,-12,-9,16,-8,7,-12
2024-07-01,-12,-20,-17,-19,7,-11,5,-14
2024-08-01,-12,-23,-26,-28,7,-4,3,-17
2024-09-01,-14,-17,-28,-31,9,-5,4,-19
