date,principal,suburb,exurb
1986-01-01,7.6,6.6,8.2
1987-01-01,8.3,6.9,7.8
1988-01-01,8.4,7,7.3
1989-01-01,7.9,6.6,7.7
1990-01-01,7.8,6.3,7.6
1991-01-01,8,6.8,7.3
1992-01-01,8.3,6.4,7
1993-01-01,8.2,6.6,6.5
1994-01-01,8.2,6.3,7.7
1995-01-01,8.4,6.6,7.9
1996-01-01,8.2,7,8.7
1997-01-01,8.1,6.9,8.8
1998-01-01,8.2,7.1,9.2
1999-01-01,8.4,7.2,9.6
2000-01-01,8.2,7.2,9.5
2001-01-01,8.6,7.4,10.4
2002-01-01,9.2,8.2,10.2
2003-01-01,10,9.2,10.6
2004-01-01,10.8,9.5,10.2
2005-01-01,10,9.4,10.5
2006-01-01,10,9.3,10
2007-01-01,10,9.6,9.3
2008-01-01,10.2,9.7,10.4
2009-01-01,11.1,10.2,10.4
2010-01-01,10.7,9.8,9.9
2011-01-01,9.9,9,9.5
2012-01-01,8.8,8.4,9.5
2013-01-01,8.4,7.7,10.2
2014-01-01,7.5,7.2,8.9
2015-01-01,7.1,6.4,9
2016-01-01,6.7,6.3,9.4
2017-01-01,7.3,6.7,8.5
2018-01-01,6.9,6.3,8.6
2019-01-01,6.9,6.1,8.3
2020-01-01,6.5,5.6,8
2021-01-01,6.6,5.2,7.2
2022-01-01,6,5.3,7
