"","date","value","seriesID","series_id"
"1",1991-01-01,-2.59999999999999,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"2",1991-02-01,-2.70000000000002,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"3",1991-03-01,-3.40000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"4",1991-04-01,-1.5,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"5",1991-05-01,-0.199999999999989,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"6",1991-06-01,0.800000000000011,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"7",1991-07-01,2.59999999999999,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"8",1991-08-01,5,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"9",1991-09-01,4.09999999999999,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"10",1991-10-01,4.30000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"11",1991-11-01,5.20000000000002,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"12",1991-12-01,5.5,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"13",1992-01-01,3.90000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"14",1992-02-01,6.40000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"15",1992-03-01,8.80000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"16",1992-04-01,7.40000000000001,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"17",1992-05-01,5.59999999999999,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"18",1992-06-01,4.79999999999998,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"19",1992-07-01,3.70000000000002,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
"20",1992-08-01,5,"CEU5051800001","Computing Infrastructure, Data Processing, Web Hosting, & Related"
