Country,Line,Start,End,Length,Tunnel %,Tunnel,Aerial %,Aerial,Max speed,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km,Source2,Reference,,,,,,,
UK,HS2,2020,2035,530,13%,71,,,360,Wiki,84200,GBP,2019,1.46,122932,231.9471698,Plan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/870092/oakervee-review.pdf,,,,,,,
JP,Hokuriku to Tsuruga,2012,2024,114.6,33%,37.7,65%,74.6,260,Plan,1677900,JPY,2018,0.00964,16174.956,141.1427225,Media,https://news.yahoo.co.jp/articles/88af32c76c6bdcb5a0948751a06a4308ddc404af,,,,,,,
FR,Lyon-Turin,2016,2030,260,69%,179.8,1%,2.3,220,Wiki,26100,EUR,2012,1.3,33930,130.5,Plan,https://alaingrandjean.fr/2020/03/06/lyon-turin-conditions-succes-reunies/,,,,,,,
US,CAHSR SF-LA,,,795,,,,,,,106163,,2023,0.892857143,94788.39286,119.2306828,,,,,,,,,
IT,Tortona-Genoa,2013,2023,78,46%,36,,,250,Wiki,6200,EUR,2018,1.35,8370,107.3076923,Trade,https://www.railwaygazette.com/europe/new-lines-go-ahead-as-fs-infrastructure-spending-approved/54271.article,,,,,,,
TW,THSR,2000,2007,348.5,18%,61,72%,252,300,Wiki,513300,TWD,2003,0.0664,34083.12,97.7994835,Plan,http://web.archive.org/web/20180113092958/https://www.hsr.gov.tw/showpage.php?lmenuid=3&smenuid=68&tmenuid=93,,,,,,,
IT,Florence-Bologna,1996,2009,78.5,94%,73.8,1%,1.1,300,Wiki,5877,EUR,2007,1.25,7346.25,93.58280255,Paper,https://re.public.polimi.it/retrieve/handle/11311/1015984/186783/Beria%20Bel%20et%20al%20-%20Mismatches%20HSR%20Italy%20n%20Spain%20-%20PAPER%2013%20%5BSENT%5D.pdf,,,,,,,
TR,Gebze-Halkali YST,2020,,213,,,,,200,Media,36200,TRY,2021,0.54,19548,91.77464789,Media,https://tr.railturkey.org/2016/08/26/gebze-3-kopru-halkali-hizli-tren-hatti-projesi/,,,,,,,
US,CAHSR Bakersfield-Merced,,,275.198,,,,,,,28091,,2023,0.892857143,25081.25,91.13892543,,,,,,,,,
UK,HS1/CTRL,1998,2007,109,23%,24.7,4%,3.9,300,Wiki,6840,GBP,2002,1.45,9918,90.99082569,Plan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/466084/first_interim_evaluation_hs1_main-report.pdf,,,,,,,
NL,HSL Zuid,2000,2009,100,20%,20,,,300,Wiki,6700,EUR,2004,1.25,8375,83.75,Trade,https://www.railwaypeople.com/Page/project-hsl-zuid-project-56,,,,,,,
AT,New Lower Inn Valley Railway Phase 1,2006,2012,37,86%,32,,,250,Wiki,2358,EUR,2009,1.3,3065.4,82.84864865,Media,https://archive.ph/20130205032447/http://www.tt.com/csp/cms/sites/tt/Nachrichten/3990641-6/die-letzte-schiene-ist-verlegt.csp,,,,,,,
KR,Gyeongbu Phase 1,1994,2004,222.1,34%,75.6,37%,83.1,350,Wiki,12737700,KRW,1998,0.00138,17578.026,79.14464656,Paper,https://www.sciencedirect.com/science/article/pii/S0386111214600297,,,,,,,
IT,Turin-Milan,2002,2009,127,4%,5,16%,20,300,Wiki,7788,EUR,2007,1.25,9735,76.65354331,Paper,https://re.public.polimi.it/retrieve/handle/11311/1015984/186783/Beria%20Bel%20et%20al%20-%20Mismatches%20HSR%20Italy%20n%20Spain%20-%20PAPER%2013%20%5BSENT%5D.pdf,,,,,,,
CN,Shenzhen-Jiangmen Railway,,,136,,,,,250,GDDRC,41500,CNY,2020,0.24,9878.60,72.63676716,,https://m.leju.com/news-gz-6530648777018360549.html; https://3g.163.com/home/article_cambrian/FAJ5F7JO0541ABZS.html,,,,,,,
CN,Shenzhen-Shanwei HSR,,,126,,,,,380,GDDRC,38000,CNY,2020,0.24,9045.47,71.78940766,,https://m.leju.com/news-gz-6530648777018360549.html; https://baike.baidu.com/item/%E6%B7%B1%E6%B1%95%E9%AB%98%E9%80%9F%E9%93%81%E8%B7%AF/20441346?fromtitle=%E6%B7%B1%E6%B1%95%E9%AB%98%E9%93%81&fromid=22393178&fr=aladdin,,,,,,,
DE,Wendlingen-Ulm,2010,2022,59.6,51%,30.4,,,250,Plan,3259,EUR,2012,1.3,4236.7,71.08557047,Plan,https://www.bahnprojekt-stuttgart-ulm.de/de/projekt/finanzierung-und-kosten/nbs-neubaustrecke-wendlingen-ulm/,,,,,,,
KR,Suseo/SRT,2011,2016,61.1,87%,53.4,0%,0,305,Media,3605000,KRW,2013,0.00115,4145.75,67.85188216,Media,http://www.hani.co.kr/arti/society/society_general/699809.html,,,,,,,
CN,Beijing-Tianjin/Jingjin ICL Phase 1,2005,2008,117,0%,0,85%,100,350,Wiki,21500,CNY,2006,0.35,7503.5,64.13247863,Media,http://www.china.com.cn/zhibo/2008-07/30/content_16089493.htm?show=t,,,,,,,
CN,Guangzhou-Zhongshan-Zhuhai-Macao HSR,,,193,,,,,350,GDDRC,51900,CNY,2020,0.24,12354.20,64.01140612,,https://m.leju.com/news-gz-6530648777018360549.html,,,,,,,
JP,Hokuriku to Kanazawa,2001,2015,231.1,45%,103.1,54%,124.1,260,Plan,1698800,JPY,2008,0.00856,14541.728,62.92396365,Media,https://tabiris.com/archives/hokuriku-jigyohi/,,,,,,,
DE,Nuremberg-Ingolstadt,1998,2006,77.6,34%,26.7,,,300,Wiki,3676,EUR,2012,1.3,4778.8,61.58247423,Plan,http://dipbt.bundestag.de/dip21/btd/18/005/1800580.pdf,,,,,,,
CN,Shanghai-Hangzhou/Huhang PDL,2008,2010,160,0%,0,87%,139,350,Media,29290,CNY,2009,0.32,9284.93,58.0308125,Media,http://sh.eastday.com/qtmt/20101019/u1a813958.html,,,,,,,
DE,VDE 8,1996,2017,230,28%,63.8,11%,26.4,300,Plan,10000,EUR,2010,1.3,13000,56.52173913,Plan,https://www.vde8.de/mediathek/file/7808/dToFyLnkH0Bu24dvcJU-Usm1JTlViZHj_qXh0g8Yh7s/mediathek/00%20Gesamtprojekt%20VDE%208/upgraded-and-new-lines_Nuremberg-Berlin_05_2016.pdf,,,,,,,
IT,Brescia-Verona,2019,2026,60,13%,7.7,,,300,Trade,2500,EUR,2021,1.35,3375,56.25,Trade,https://www.railwaygazette.com/europe/new-lines-go-ahead-as-fs-infrastructure-spending-approved/54271.article,,,,,,,
CN,Hefei-Xinqiao International Airport-Lu'an HSR,2018,,90,,,,,350,NDRC,19500,CNY,2015,0.26,5037.46,55.97175579,,,,,,,,,
KR,Honam,2009,2015,182.3,,,,,350,Trade,8700000,KRW,2012,0.00117,10179,55.83653319,Media,https://kojects.com/2015/02/23/the-honam-high-speed-railway-opens-in-april/,,,,,,,
CN,Guangzhou-Heyuan HSR,,,182,,,,,350,GDDRC,42300,CNY,2020,0.24,10069.03,55.32434716,,https://m.leju.com/news-gz-6530648777018360549.html; https://baike.baidu.com/item/%E5%B9%BF%E6%B2%B3%E9%AB%98%E9%93%81,,,,,,,
DE,Mannheim-Stuttgart,1983,1991,98.8,31%,30.6,7%,7,280,Plan,3932,EUR,2021,1.35,5308.2,53.72672065,Plan,http://dip21.bundestag.de/dip21/btd/12/084/1208476.pdf,,,,,,,
CN,Yancheng-Taizhou-Wuxi-Yixing RJ,2019,2025,302,,,,,350,NDRC,68100,CNY,2018,0.24,16110.72,53.34674444,,http://www.rail-transit.com/xinwen/show.php?itemid=1695,,,,,,,
CN,Beijing-Shanghai/Jinghu HSR,2008,2011,1318,1%,16.1,86%,1140,380,Wiki,220900,CNY,2009,0.32,70025.3,53.12996965,Media,https://web.archive.org/web/20110704184636/http://www.s1979.com/news/china/201107/0115015701.shtml,,,,,,,
CN,Shanghai-Nanjing/Huning HSR,2008,2010,301,,,,,350,Media,50000,CNY,2009,0.32,15850,52.65780731,Media,http://www.chinanews.com/cj/2010/07-01/2376126.shtml,,,,,,,
