CSA,CBSA,Name,Total_2023,SF_2023,Duplex_2023,Tri_Quad_2023,5_Plus_2023,Total_2022,SF_2022,Duplex_2022,Tri_Quad_2022,5_Plus_2022
456,39900,"Reno, NV                                                    ",4271,1992,110,73,2096,5812,2184,120,65,3443
999,40060,"Richmond, VA                                                ",9976,4593,224,8,5151,10414,4503,132,13,5766
348,40140,"Riverside-San Bernardino-Ontario, CA                        ",19710,11924,196,261,7329,16747,12467,228,395,3657
999,40220,"Roanoke, VA                                                 ",622,491,12,0,119,771,452,4,0,315
462,40340,"Rochester, MN                                               ",1089,519,4,7,559,1721,641,6,55,1019
464,40380,"Rochester, NY                                               ",1560,899,54,155,452,2586,1179,86,142,1179
466,40420,"Rockford, IL                                                ",196,175,12,9,0,318,289,20,9,0
468,40580,"Rocky Mount, NC                                             ",614,584,0,0,30,427,427,0,0,0
122,40660,"Rome, GA                                                    ",327,327,0,0,0,310,310,0,0,0
472,40900,"Sacramento-Roseville-Folsom, CA                             ",11917,7941,154,13,3809,10800,8170,188,115,2327
474,40980,"Saginaw, MI                                                 ",173,131,30,12,0,175,143,12,0,20
440,41420,"Salem, OR                                                   ",1987,832,74,15,1066,2817,874,34,36,1873
999,41500,"Salinas, CA                                                 ",595,436,6,3,150,1086,611,18,63,394
480,41540,"Salisbury, MD-DE                                            ",4899,4180,92,20,607,4919,4235,214,10,460
