date,Category,Total,0-10%,10%-20%,20%-30%,30%-40%,40%-50%,50%-60%,60%-70%,70%-80%,80%-90%,90%-100%
2020-01-01,Compensation of employees,"$11,593 ",0.96731259696814%,2.36619373645420%,3.68724295087623%,4.87385452006628%,6.27547843696653%,8.08936486153503%,10.53595670280110%,13.39909786839190%,17.96813887007340%,31.83735945586720%
2020-01-01,Proprietors' income with inventory valuation,"$1,643 ",-0.43736181688843%,0.15403643325138%,0.28002355249858%,0.51351729127792%,0.81348984576351%,1.07603129847819%,2.35307528158981%,4.17959743206829%,7.67708659924480%,83.39050408271600%
2020-01-01,Rental income of households with capital consumption adjustment,$709 ,1.94723847783939%,4.28202939639509%,5.49223528778711%,6.28823815116790%,7.32992370600289%,8.82787658625600%,10.17385000680920%,11.79972048477760%,14.64354756530880%,29.21534033765610%
2020-01-01,Household income receipts on assets,"$3,038 ",0.77912672628603%,1.18278433144191%,1.75200720922150%,2.41856835420896%,3.38799496446213%,4.47561810308630%,6.07890777476836%,8.72062705925839%,13.78779744757040%,57.41656800208460%
2020-01-01,Household interest income,"$1,623 ",1.41129678627214%,1.82752663352423%,2.54925902293811%,3.43356960383808%,4.63421668088139%,5.99944151396571%,7.56140082726213%,10.47684096244370%,16.53868304764090%,45.56776486956800%
2020-01-01,Household dividend income,"$1,414 ",0.05347031654100%,0.44269647573094%,0.83685648408750%,1.25346704791051%,1.95747992788644%,2.72644917621801%,4.37718120776168%,6.70470135129659%,10.63010635380010%,71.01759165876730%
2020-01-01,Household current transfer receipts,"$4,204 ",6.80771338359801%,9.59733678058621%,10.53436620514060%,11.54000366668150%,11.80010284862140%,11.62305630388030%,11.01848658253610%,9.88409497759348%,8.88959093387405%,8.30524831748830%
2020-01-01,Government social benefits,"$4,066 ",6.55096461177058%,9.71167811859127%,10.63235361463060%,11.65732656025920%,11.89982451926890%,11.71760540401280%,11.07410274115270%,9.85035392565454%,8.77215774428069%,8.13363276037871%
2020-01-01,From business (net),$18 ,2.05842154727000%,3.57136401999138%,4.59493856431421%,5.57101376294742%,6.56793256277726%,7.70957646514300%,9.24188472814239%,11.08874285894750%,14.40639770777790%,35.18972778268900%
2020-01-01,From nonprofit institutions,$120 ,16.23868687495590%,6.62566488322563%,8.10470943739486%,8.45853616335733%,9.20486952753398%,9.00441798371640%,9.39886263075990%,10.84754812314980%,12.04302902103040%,10.07367535487580%
2020-01-01,"Less: Contributions for government social insurance, domestic","$1,450 ",0.98427900703407%,2.42709898082077%,3.77232921732619%,5.00798961736353%,6.34891697372179%,8.18668967441524%,10.70951253285310%,13.70134706360300%,18.39142739233040%,30.47040954053200%
2020-01-01,Household income,"$19,737 ",2.09942632391046%,3.60455732468264%,4.62284787236822%,5.59388414104727%,6.58564820628618%,7.72141592050122%,9.24578131766718%,11.08312313360160%,14.38365369676560%,35.05966712561380%
2020-01-01,Personal income,"$19,832 ",2.01357000910928%,3.58594725668371%,4.60151191014574%,5.57633127676746%,6.56963389340947%,7.71353711923442%,9.24481428409048%,11.08460719935820%,14.39803969720280%,35.21201239204710%
2020-01-01,Less: Taxes,"$2,236 ",-0.02173041650215%,-0.45181234712430%,-0.04110662029401%,0.37492446672662%,1.35999508769596%,2.91482055126842%,5.46722006910760%,9.27578500864653%,16.68915645288870%,64.43274780391530%
