Date,RU_GDP
2011-01-01,29062.11
2011-04-01,29296.89
2011-07-01,29603.03
2011-10-01,29866.53
2012-01-01,30331.56
2012-04-01,30396.63
2012-07-01,30679.32
2012-10-01,30674.47
2013-01-01,30893.82
2013-04-01,31000.58
2013-07-01,31005.19
2013-10-01,31230.28
2014-01-01,31129.81
2014-04-01,31342.50
2014-07-01,31140.82
2014-10-01,31154.94
2015-01-01,30877.85
2015-04-01,30740.88
2015-07-01,30737.87
2015-10-01,30657.95
2016-01-01,30709.73
2016-04-01,30747.64
2016-07-01,30781.91
2016-10-01,30995.63
2017-01-01,31084.16
2017-04-01,31248.81
2017-07-01,31509.60
2017-10-01,31514.30
2018-01-01,31922.90
2018-04-01,32014.89
2018-07-01,32224.09
2018-10-01,32364.37
2019-01-01,32582.13
2019-04-01,32683.01
2019-07-01,33006.69
2019-10-01,32912.60
2020-01-01,32837.51
2020-04-01,30386.70
2020-07-01,32573.92
2020-10-01,32847.68
2021-01-01,33074.48
2021-04-01,33619.38
2021-07-01,33771.00
2021-10-01,34108.14
2022-01-01,34125.41
2022-04-01,32640.26
2022-07-01,32871.22
2022-10-01,33029.05
2023-01-01,33250.76
