Entity,Code,Year,Number of people employed in services (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data)
United Kingdom,GBR,1989,17882654.3,7849759.954,641803.3047
United Kingdom,GBR,1990,18202283.41,7741974.756,633659.2418
United Kingdom,GBR,1991,18000806.85,7108901.206,651621.3512
United Kingdom,GBR,1992,18083229.74,6680303.547,636011.8973
United Kingdom,GBR,1993,17870620.47,6322228.394,626255.8503
United Kingdom,GBR,1994,18027678.61,6303142.404,607527.6056
United Kingdom,GBR,1995,18206811.79,6364875.429,571000
United Kingdom,GBR,1996,18470219.1,6333495.599,581000
United Kingdom,GBR,1997,18852356.87,6361202.401,596000
United Kingdom,GBR,1998,18986590.94,6422004.697,565000
United Kingdom,GBR,1999,19475554.58,6259334.834,522000
United Kingdom,GBR,2000,19928105.97,6147598.14,490000
United Kingdom,GBR,2001,20278627.82,6023851.384,465000
United Kingdom,GBR,2002,20689312.85,5847906.191,462000
United Kingdom,GBR,2003,21044788.48,5726752.765,464000
United Kingdom,GBR,2004,21397277.69,5628674.517,475000
United Kingdom,GBR,2005,21762584.88,5544965.736,499000
United Kingdom,GBR,2006,22068564.52,5490047.311,485000
United Kingdom,GBR,2007,22164263.98,5478726.253,487000
United Kingdom,GBR,2008,22322972.69,5316355.201,509000
United Kingdom,GBR,2009,22054919.89,4958757.834,525000
United Kingdom,GBR,2010,22734404.29,5284408.601,548459.5799
United Kingdom,GBR,2011,23088919.75,5513972.627,596247.613
United States,USA,1840,1268000,822000,3570000
United States,USA,1850,2018000,1712000,4520000
United States,USA,1860,3004000,2226000,5880000
United States,USA,1870,2710000,3430000,6790000
United States,USA,1880,4000000,4470000,8920000
United States,USA,1890,7020000,6340000,9960000
United States,USA,1900,9193000,8197000,11680000
United States,USA,1910,14361000,11349000,11770000
United States,USA,1920,17217000,13603000,10790000
United States,USA,1929,23100000,13879000,8627000
United States,USA,1930,22509000,12557000,8441000
United States,USA,1931,21208000,10805000,8471000
United States,USA,1932,19581000,9091000,8370000
United States,USA,1933,19715000,9380000,8438000
United States,USA,1934,21599000,10758000,8523000
United States,USA,1935,22364000,11373000,8651000
United States,USA,1936,24472000,12429000,8544000
United States,USA,1937,24848000,13417000,8367000
United States,USA,1938,24901000,11812000,8066000
United States,USA,1939,25492000,12820000,7810000
United States,USA,1940,26509000,13915000,7589000
United States,USA,1941,28379000,16738000,7486000
United States,USA,1942,30770000,19310000,7341000
United States,USA,1943,35249000,20677000,7154000
United States,USA,1944,37552000,19769000,6931000
United States,USA,1945,37958000,17915000,6766000
United States,USA,1946,32121000,18133000,6713000
United States,USA,1947,31232000,19371000,6657000
United States,USA,1948,31314000,20294000,6625000
United States,USA,1949,31520000,18888000,6440000
United States,USA,1950,32245000,19880000,6402000
United States,USA,1951,35004000,21265000,6022000
United States,USA,1952,36045000,21454000,5879000
United States,USA,1953,36381000,22088000,5696000
United States,USA,1954,35920000,20605000,5713000
United States,USA,1955,36600000,21150000,5525000
United States,USA,1956,37601000,21574000,5251000
United States,USA,1957,38197000,21471000,5010000
United States,USA,1958,38032000,19778000,4848000
United States,USA,1959,38786000,20646000,4704000
United States,USA,1960,39788000,20710000,4531000
United States,USA,1961,40118000,20221000,4442000
United States,USA,1962,40959000,20865000,4310000
United States,USA,1963,41580000,21042000,4079000
United States,USA,1964,42685000,21376000,3862000
United States,USA,1965,44018000,22449000,3713000
United States,USA,1966,46188000,23737000,3432000
United States,USA,1967,47933000,23924000,3338000
United States,USA,1968,49343000,24344000,3303000
United States,USA,1969,50807000,24939000,3193000
United States,USA,1970,51239000,23985000,3118000
United States,USA,1971,51728000,23214000,3065000
United States,USA,1972,52870000,23943000,3116000
United States,USA,1973,54846000,25347000,3181000
United States,USA,1974,56114000,25321000,3255000
United States,USA,1975,56603000,23113000,3191000
United States,USA,1976,57992000,24030000,3210000
United States,USA,1977,59970000,25123000,3105000
United States,USA,1978,62886000,26614000,3158000
United States,USA,1979,65022000,27534000,3183000
United States,USA,1980,65996000,26633000,3275000
United States,USA,1981,67030000,26509000,3260000
United States,USA,1982,67050000,24618000,3140000
United States,USA,1983,68223000,24246000,3166000
United States,USA,1984,71299000,25740000,3074000
United States,USA,1985,73625000,25865000,2889000
United States,USA,1986,75547000,25675000,2869000
United States,USA,1987,78288000,25812000,2932000
United States,USA,1988,80766000,26411000,2988000
United States,USA,1989,83470000,26498000,2940000
United States,USA,1990,84959000,26217000,2930000
United States,USA,1991,84826000,25068000,2964000
United States,USA,1992,85244000,24506000,2883000
United States,USA,1993,87192000,24768000,2935000
United States,USA,1994,89408000,25350000,2995000
United States,USA,1995,91720000,25748000,3210000
United States,USA,1996,93668000,25976000,3154000
United States,USA,1997,96070000,26468000,3132000
United States,USA,1998,98419000,26949000,3133000
United States,USA,1999,100687000,27034000,3171000
United States,USA,2000,103217000,27280000,3146000
United States,USA,2001,106231000,25535000,2093000
United States,USA,2002,106259000,24171000,2098000
United States,USA,2003,106722000,23522000,2072000
United States,USA,2004,107820000,23753000,2030000
United States,USA,2005,109890000,24018000,1992000
United States,USA,2006,111891000,24405000,2022000
United States,USA,2007,113483000,24140000,1953000
United States,USA,2008,113519000,23177000,1945000
United States,USA,2009,109771000,20154000,1907000
United States,USA,2010,109039000,19315000,1923000
United States,USA,2011,110120000,19453000,1962000
United States,USA,2012,112340000,19798000,1919000
United States,USA,2013,114099000,20113000,1957000
United States,USA,2014,117508000,20779000,1947000
United States,USA,2015,118704000,21105000,2050000
